AC	OrganismId	PubMedId	LocClass
---------------------------------------------------------
P31946	9606	17081065  	Melanoma
P62258	9606	12042314
P62258	9606	17081065  	Melanoma
P63104	9606	17081065  	Melanoma
Q15172	9606	8703017
Q15172	9606	16541025
Q15173	9606	8703017
Q13362	9606	8703017
Q13362	9606	16580887
P30153	9606	16580887
P04229	9606	18305173
P01912	9606	18305173
P13760	9606	18305173
P13761	9606	18305173
Q30134	9606	18305173
Q9TQE0	9606	18305173
Q30167	9606	18305173
P20039	9606	18305173
Q95IE3	9606	18305173
Q5Y7A7	9606	18305173
Q9GIY3	9606	18305173
P01911	9606	18305173
Q29974	9606	18305173
O60239	9606	12167088
P11171	9606	12427749
Q9NRA8	9606	22090346
P08195	9606	11311135
P08195	9606	11389679
P08195	9606	11742812
P08195	9606	12225859
P08195	9606	12716892
P08195	9606	16496379
P08195	9606	17081065  	Melanoma
P08195	9606	17724034
P08908	9606	8393041
P08908	9606	3138543
P08908	9606	22957663
P28222	9606	1315531
P28222	9606	1610347
P28222	9606	1348246
P28222	9606	1559993
P28222	9606	1565658   	Placenta
P28222	9606	1351684
P28222	9606	1328844
P28222	9606	10452531
P28222	9606	23519215
P28222	9606	23519210
P28221	9606	1652050
P28221	9606	1565658   	Placenta
P28221	9606	10452531
P28566	9606	1608964   	Brain
P28566	9606	1733778
P28566	9606	1513320
P28566	9606	14744596
P28566	9606	21422162
P30939	9606	8384716
P30939	9606	8380639
P28223	9606	18703043
P28223	9606	21645528
P28223	9606	22300836
P41595	9606	8143856
P41595	9606	7926008   	Brain
P41595	9606	8078486   	Uterus
P41595	9606	12970106
P41595	9606	23519210
P41595	9606	23519215
P28335	9606	7895773   	Hippocampus
P28335	9606	12970106
P28335	9606	18703043
P28335	9606	19057895
O95264	9606	21138434
Q8WXA8	9606	17392525
Q70Z44	9606	17392525
A5X5Y0	9606	17392525
A5X5Y0	9606	19012743
Q9H0P0	9606	8557639
P36639	9606	7782328
P36639	9606	12857738
P36639	9606	16607562
P20848	9606	23826168
P01009	9606	1406456   	Placenta
Q9NQ94	9606	12881431
P01023	9606	6203908
A8K2U0	9606	16298998
P05067	9606	11544248
P05067	9606	15084524
P05067	9606	16174740
P22760	9606	19339378
Q15758	9606	17081065  	Melanoma
Q6PD74	9606	23000146
Q6PD74	9606	23064416
Q13685	9606	10329261
Q13685	9606	18634987
Q13131	9606	15866171
P54646	9606	15866171
P17174	9606	1974457   	Liver
Q9NY61	9606	12429849  	Cervix carcinoma
P00505	9606	9537447
Q7Z5R6	9606	15469846  	T-cell
P31941	9606	16527742
P31941	9606	19461882
P31941	9606	21123384
P31941	9606	21835787
P31941	9606	22977230
Q9UH17	9606	16699599
Q9UH17	9606	18667511
Q9UH17	9606	21835787
Q9UH17	9606	22915799
Q9NRW3	9606	21835787
Q9NRW3	9606	22977230
Q96AK3	9606	21835787
Q96AK3	9606	22915799
Q8IUX4	9606	16527742
Q8IUX4	9606	16699599
Q8IUX4	9606	21835787
Q8IUX4	9606	22915799
Q9HC16	9606	12808466
Q9HC16	9606	16527742
Q9HC16	9606	16699599
Q9HC16	9606	18667511
Q9HC16	9606	21659520
Q9HC16	9606	21835787
Q9HC16	9606	22915799
Q6NTF7	9606	21653666
Q6NTF7	9606	21835787
Q6NTF7	9606	22915799
O95477	9606	19556522
O95477	9606	19258317
Q9BZC7	9606	11309290  	Brain
P78363	9606	10075733
Q8IZY2	9606	14592415
Q8IZY2	9606	12917409
Q8IZY2	9606	14570867
Q9NP58	9606	10837493
Q9NP58	9606	17006453
Q9NP58	9606	17661442
Q9NP58	9606	18279659
Q9NP58	9606	22226084
Q9NUT2	9606	16259955
Q9NP78	9606	10748049  	Lymphoblast
Q9NP78	9606	15577206
Q9NP78	9606	17977821
Q9NP78	9606	17897319  	Placenta
Q9NP78	9606	18952056
Q9NP78	9606	18175933
Q9NP78	9606	20377823
Q9NP78	9606	21212514
P28288	9606	10704444
P61221	9606	11585831
Q8NE71	9606	19570978
P45844	9606	22042635
Q9UNQ0	9606	15001581
Q9UNQ0	9606	15807535
Q9UNQ0	9606	15769853
Q9UNQ0	9606	23189181
P41238	9606	22580899
Q8WTS1	9606	18832586
Q96IU4	9606	11053859
Q96IU4	9606	14672934
Q9NYB9	9606	7590236
Q9NYB9	9606	11516653
Q9P2A4	9606	11956071
P00519	9606	15696159
